country,year,iso_code,population,gdp,biofuel_cons_change_pct,biofuel_cons_change_twh,biofuel_cons_per_capita,biofuel_consumption,biofuel_elec_per_capita,biofuel_electricity,biofuel_share_elec,biofuel_share_energy,carbon_intensity_elec,coal_cons_change_pct,coal_cons_change_twh,coal_cons_per_capita,coal_consumption,coal_elec_per_capita,coal_electricity,coal_prod_change_pct,coal_prod_change_twh,coal_prod_per_capita,coal_production,coal_share_elec,coal_share_energy,electricity_demand,electricity_generation,electricity_share_energy,energy_cons_change_pct,energy_cons_change_twh,energy_per_capita,energy_per_gdp,fossil_cons_change_pct,fossil_cons_change_twh,fossil_elec_per_capita,fossil_electricity,fossil_energy_per_capita,fossil_fuel_consumption,fossil_share_elec,fossil_share_energy,gas_cons_change_pct,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_electricity,gas_energy_per_capita,gas_prod_change_pct,gas_prod_change_twh,gas_prod_per_capita,gas_production,gas_share_elec,gas_share_energy,greenhouse_gas_emissions,hydro_cons_change_pct,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_electricity,hydro_energy_per_capita,hydro_share_elec,hydro_share_energy,low_carbon_cons_change_pct,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_elec_per_capita,low_carbon_electricity,low_carbon_energy_per_capita,low_carbon_share_elec,low_carbon_share_energy,net_elec_imports,net_elec_imports_share_demand,nuclear_cons_change_pct,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_electricity,nuclear_energy_per_capita,nuclear_share_elec,nuclear_share_energy,oil_cons_change_pct,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_electricity,oil_energy_per_capita,oil_prod_change_pct,oil_prod_change_twh,oil_prod_per_capita,oil_production,oil_share_elec,oil_share_energy,other_renewable_consumption,other_renewable_electricity,other_renewable_exc_biofuel_electricity,other_renewables_cons_change_pct,other_renewables_cons_change_twh,other_renewables_elec_per_capita,other_renewables_elec_per_capita_exc_biofuel,other_renewables_energy_per_capita,other_renewables_share_elec,other_renewables_share_elec_exc_biofuel,other_renewables_share_energy,per_capita_electricity,primary_energy_consumption,renewables_cons_change_pct,renewables_cons_change_twh,renewables_consumption,renewables_elec_per_capita,renewables_electricity,renewables_energy_per_capita,renewables_share_elec,renewables_share_energy,solar_cons_change_pct,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_electricity,solar_energy_per_capita,solar_share_elec,solar_share_energy,wind_cons_change_pct,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_electricity,wind_energy_per_capita,wind_share_elec,wind_share_energy
Congo,2006,COG,3813325,18567819264.000,,,,,5.245,0.020,4.545,,113.636,,,,,0.000,0.000,,0.000,0.000,0.000,0.000,,0.850,0.440,,19.250,1.379,2240.816,0.460,,,13.112,0.050,,,11.364,,,,,0.000,0.000,,50.000,0.651,511.956,1.952,0.000,,0.050,,,,97.028,0.370,,84.091,,,,,102.273,0.390,,88.636,,0.410,48.235,,,,0.000,0.000,,0.000,,,,,13.112,0.050,,12.987,18.981,43305.805,165.139,11.364,,,0.020,0.000,,,5.245,0.000,,4.545,0.000,,115.385,8.545,,,,102.273,0.390,,88.636,,,,,0.000,0.000,,0.000,,,,,0.000,0.000,,0.000,
Congo,2007,COG,3956337,18699022336.000,,,,,2.528,0.010,2.500,,125.000,,,,,0.000,0.000,,0.000,0.000,0.000,0.000,,0.850,0.400,,23.051,1.970,2657.684,0.562,,,15.166,0.060,,,15.000,,,,,0.000,0.000,,61.111,1.193,795.003,3.145,0.000,,0.050,,,,83.410,0.330,,82.500,,,,,85.938,0.340,,85.000,,0.450,52.941,,,,0.000,0.000,,0.000,,,,,15.166,0.060,,-19.123,-31.579,33758.438,133.560,15.000,,,0.010,0.000,,,2.528,0.000,,2.500,0.000,,101.104,10.515,,,,85.938,0.340,,85.000,,,,,0.000,0.000,,0.000,,,,,0.000,0.000,,0.000,
Congo,2008,COG,4089607,20269996032.000,,,,,4.890,0.020,4.167,,145.833,,,,,0.000,0.000,,0.000,0.000,0.000,0.000,,0.920,0.480,,13.824,1.454,2926.504,0.590,,,22.007,0.090,,,18.750,,,,,0.000,0.000,,27.586,0.868,981.260,4.013,0.000,,0.070,,,,90.473,0.370,,77.083,,,,,95.364,0.390,,81.250,,0.440,47.826,,,,0.000,0.000,,0.000,,,,,22.007,0.090,,6.215,8.300,34687.922,141.860,18.750,,,0.020,0.000,,,4.890,0.000,,4.167,0.000,,117.371,11.968,,,,95.364,0.390,,81.250,,,,,0.000,0.000,,0.000,,,,,0.000,0.000,,0.000,
Congo,2009,COG,4257234,22298685440.000,,,,,7.047,0.030,5.769,,250.000,,,,,0.000,0.000,,0.000,0.000,0.000,0.000,,0.960,0.520,,21.365,2.557,3411.898,0.651,,,37.583,0.160,,,30.769,,,,,0.000,0.000,,43.243,1.735,1350.244,5.748,0.000,,0.130,,,,77.515,0.330,,63.462,,,,,84.562,0.360,,69.231,,0.440,45.833,,,,0.000,0.000,,0.000,,,,,37.583,0.160,,15.535,22.038,38498.805,163.898,30.769,,,0.030,0.000,,,7.047,0.000,,5.769,0.000,,122.145,14.525,,,,84.562,0.360,,69.231,,,,,0.000,0.000,,0.000,,,,,0.000,0.000,,0.000,
Congo,2010,COG,4437883,24809039872.000,,,,,2.253,0.010,1.316,,236.842,,,,,0.000,0.000,,0.000,0.000,0.000,0.000,,1.040,0.760,,36.266,5.268,4460.019,0.798,,,72.106,0.320,,,42.105,,,,,60.840,0.270,,75.472,4.338,2272.851,10.087,35.526,,0.180,,,,96.893,0.430,,56.579,,,,,99.146,0.440,,57.895,,0.280,26.923,,,,0.000,0.000,,0.000,,,,,11.267,0.050,,13.830,22.667,42039.301,186.566,6.579,,,0.010,0.000,,,2.253,0.000,,1.316,0.000,,171.253,19.793,,,,99.146,0.440,,57.895,,,,,0.000,0.000,,0.000,,,,,0.000,0.000,,0.000,
Congo,2011,COG,4584223,26249132032.000,,,,,2.181,0.010,0.806,,209.677,,,,,0.000,0.000,,0.000,0.000,0.000,0.000,,1.270,1.240,,20.129,3.984,5186.757,0.906,,,98.163,0.450,,,36.290,,,,,82.893,0.380,,23.656,2.386,2720.796,12.473,30.645,,0.260,,,,170.149,0.780,,62.903,,,,,172.330,0.790,,63.710,,0.030,2.362,,,,0.000,0.000,,0.000,,,,,15.270,0.070,,-4.510,-8.413,38862.023,178.152,5.645,,,0.010,0.000,,,2.181,0.000,,0.806,0.000,,270.493,23.777,,,,172.330,0.790,,63.710,,,,,0.000,0.000,,0.000,,,,,0.000,0.000,,0.000,
Congo,2012,COG,4713260,27252115456.000,,,,,4.243,0.020,1.220,,213.415,,,,,0.000,0.000,,0.000,0.000,0.000,0.000,,1.670,1.640,,2.572,0.612,5174.505,0.895,,,135.787,0.640,,,39.024,,,,,114.570,0.540,,1.652,0.206,2690.029,12.679,32.927,,0.350,,,,207.924,0.980,,59.756,,,,,212.167,1.000,,60.976,,0.030,1.796,,,,0.000,0.000,,0.000,,,,,21.217,0.100,,-7.030,-12.525,35140.707,165.627,6.098,,,0.020,0.000,,,4.243,0.000,,1.220,0.000,,347.954,24.389,,,,212.167,1.000,,60.976,,,,,0.000,0.000,,0.000,,,,,0.000,0.000,,0.000,
Congo,2013,COG,4828073,28145424384.000,,,,,4.142,0.020,1.212,,224.242,,,,,0.000,0.000,,0.000,0.000,0.000,0.000,,1.690,1.650,,26.417,6.443,6385.898,1.095,,,138.772,0.670,,,40.606,,,,,115.988,0.560,,41.146,5.217,3706.584,17.896,33.939,,0.370,,,,198.837,0.960,,58.182,,,,,202.980,0.980,,59.394,,0.040,2.367,,,,0.000,0.000,,0.000,,,,,22.783,0.110,,-13.467,-22.305,29685.207,143.322,6.667,,,0.020,0.000,,,4.142,0.000,,1.212,0.000,,341.751,30.832,,,,202.980,0.980,,59.394,,,,,0.000,0.000,,0.000,,,,,0.000,0.000,,0.000,
Congo,2014,COG,4944865,30068551680.000,,,,,4.045,0.020,1.190,,232.143,,,,,0.000,0.000,,0.000,0.000,0.000,0.000,,1.680,1.680,,-4.864,-1.500,5931.768,0.975,,,145.606,0.720,,,42.857,,,,,121.338,0.600,,-9.091,-1.627,3290.036,16.269,35.714,,0.390,,,,190.096,0.940,,55.952,,,,,194.141,0.960,,57.143,,0.000,0.000,,,,0.000,0.000,,0.000,,,,,24.268,0.120,,4.609,6.605,30319.893,149.928,7.143,,,0.020,0.000,,,4.045,0.000,,1.190,0.000,,339.746,29.332,,,,194.141,0.960,,57.143,,,,,0.000,0.000,,0.000,,,,,0.000,0.000,,0.000,
Congo,2015,COG,5064390,30428346368.000,,,,,9.873,0.050,1.873,,318.352,,,,,0.000,0.000,,0.000,0.000,0.000,0.000,,2.650,2.670,,0.851,0.250,5841.056,0.972,,,302.109,1.530,,,57.303,,,,,252.745,1.280,,0.000,0.000,3212.388,16.269,47.940,,0.850,,,,215.228,1.090,,40.824,,,,,225.101,1.140,,42.697,,-0.020,-0.755,,,,0.000,0.000,,0.000,,,,,49.364,0.250,,-7.430,-11.139,27404.848,138.789,9.363,,,0.050,0.000,,,9.873,0.000,,1.873,0.000,,527.211,29.581,,,,225.101,1.140,,42.697,,,,,0.000,0.000,,0.000,,,,,0.000,0.000,,0.000,
Congo,2016,COG,5186830,29575751680.000,,,,,9.640,0.050,1.767,,321.555,,,,,0.000,0.000,,0.000,0.000,0.000,0.000,,2.830,2.830,,-4.440,-1.313,5449.973,0.956,,,320.041,1.660,,,58.657,,,,,267.986,1.390,,-6.667,-1.085,2927.454,15.184,49.117,,0.910,,,,215.932,1.120,,39.576,,,,,225.571,1.170,,41.343,,0.000,0.000,,,,0.000,0.000,,0.000,,,,,52.055,0.270,,-0.383,-0.532,26655.410,138.257,9.541,,,0.050,0.000,,,9.640,0.000,,1.767,0.000,,545.613,28.268,,,,225.571,1.170,,41.343,,,,,0.000,0.000,,0.000,,,,,0.000,0.000,,0.000,
Congo,2017,COG,5312347,29051668480.000,,,,,9.412,0.050,1.754,,312.281,,,,,0.000,0.000,,,,,0.000,,2.850,2.850,,-25.107,-7.097,3985.205,0.729,,,303.068,1.610,,,56.491,,,,,252.243,1.340,,0.000,,,,47.018,,0.890,,,,224.006,1.190,,41.754,,,,,233.418,1.240,,43.509,,0.000,0.000,,,,0.000,0.000,,0.000,,,,,50.825,0.270,,16.085,22.239,30211.938,160.496,9.474,,,0.050,0.000,,,9.412,0.000,,1.754,0.000,,536.486,21.171,,,,233.418,1.240,,43.509,,,,,0.000,0.000,,0.000,,,,,0.000,0.000,,0.000,
Congo,2018,COG,5441061,29513590784.000,,,,,11.027,0.060,2.020,,333.333,,,,,0.000,0.000,,,,,0.000,,2.970,2.970,,-7.342,-1.554,3605.274,0.665,,,334.494,1.820,,,61.279,,,,,279.357,1.520,,0.000,,,,51.178,,0.990,,,,200.329,1.090,,36.700,,,,,211.356,1.150,,38.721,,0.000,0.000,,,,0.000,0.000,,0.000,,,,,55.136,0.300,,22.689,36.415,36189.949,196.912,10.101,,,0.060,0.000,,,11.027,0.000,,2.020,0.000,,545.849,19.617,,,,211.356,1.150,,38.721,,,,,0.000,0.000,,0.000,,,,,0.000,0.000,,0.000,
Congo,2019,COG,5570736,,,,,,16.156,0.090,2.459,,401.639,,,,,0.000,0.000,,,,,0.000,,3.640,3.660,,-18.389,-3.607,2873.820,,,,488.266,2.720,,,74.317,,,,,407.487,2.270,,0.000,,,,62.022,,1.470,,,,152.583,0.850,,23.224,,,,,168.739,0.940,,25.683,,-0.020,-0.549,,,,0.000,0.000,,0.000,,,,,80.779,0.450,,1.745,3.436,35964.344,200.348,12.295,,,0.090,0.000,,,16.156,0.000,,2.459,0.000,,657.005,16.009,,,,168.739,0.940,,25.683,,,,,0.000,0.000,,0.000,,,,,0.000,0.000,,0.000,
Congo,2020,COG,5702183,,,,,,10.522,0.060,1.567,,391.645,,,,,0.000,0.000,,,,,0.000,,3.830,3.830,,-15.245,-2.441,2379.556,,,,503.316,2.870,,,74.935,,,,,445.443,2.540,,0.000,,,,66.319,,1.500,,,,157.834,0.900,,23.499,,,,,168.357,0.960,,25.065,,0.000,0.000,,,,0.000,0.000,,0.000,,,,,57.873,0.330,,-8.560,-17.150,32127.668,183.198,8.616,,,0.060,0.000,,,10.522,0.000,,1.567,0.000,,671.673,13.569,,,,168.357,0.960,,25.065,,,,,0.000,0.000,,0.000,,,,,0.000,0.000,,0.000,
Congo,2021,COG,5835814,,,,,,10.281,0.060,1.493,,395.522,,,,,0.000,0.000,,,,,0.000,,4.020,4.020,,0.987,0.134,2348.011,,,,524.348,3.060,,,76.119,,,,,469.515,2.740,,0.000,,,,68.159,,1.590,,,,154.220,0.900,,22.388,,,,,164.501,0.960,,23.881,,0.000,0.000,,,,0.000,0.000,,0.000,,,,,54.834,0.320,,-11.110,-20.354,27904.283,162.844,7.960,,,0.060,0.000,,,10.281,0.000,,1.493,0.000,,688.850,13.703,,,,164.501,0.960,,23.881,,,,,0.000,0.000,,0.000,,,,,0.000,0.000,,0.000,
Congo,2022,COG,5970430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.711,-2.786,26808.555,160.059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cook Islands,1980,COK,17675,,,,,,,,,,,,,,,,,,,0.000,0.000,,,,,,,,6944.599,,,,,,,,,,,,,,,,,,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,0.000,,,,,,,,,,,,,,,0.123,,,,,,,,,,,,,,,,,,,,,,,,
Cook Islands,1981,COK,17582,,,,,,,,,,,,,,,,,,0.000,0.000,0.000,,,,,,99.454,0.122,13924.516,,,,,,,,,,,,,,,,,0.000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,0.000,0.000,,,,,,,,,,,,,,,0.245,,,,,,,,,,,,,,,,,,,,,,,,
Cook Islands,1982,COK,17425,,,,,,,,,,,,,,,,,,0.000,0.000,0.000,,,,,,0.000,0.000,14049.977,,,,,,,,,,,,,,,,,0.000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,0.000,0.000,,,,,,,,,,,,,,,0.245,,,,,,,,,,,,,,,,,,,,,,,,
Cook Islands,1983,COK,17204,,,,,,,,,,,,,,,,,,0.000,0.000,0.000,,,,,,0.000,0.000,14230.460,,,,,,,,,,,,,,,,,0.000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,0.000,0.000,,,,,,,,,,,,,,,0.245,,,,,,,,,,,,,,,,,,,,,,,,
Cook Islands,1984,COK,16940,,,,,,,,,,,,,,,,,,0.000,0.000,0.000,,,,,,0.274,0.001,14491.829,,,,,,,,,,,,,,,,,0.000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,0.000,0.000,,,,,,,,,,,,,,,0.245,,,,,,,,,,,,,,,,,,,,,,,,
Cook Islands,1985,COK,16677,,,,,,,,,,,,,,,,,,0.000,0.000,0.000,,,,,,-0.273,-0.001,14680.148,,,,,,,,,,,,,,,,,0.000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,0.000,0.000,,,,,,,,,,,,,,,0.245,,,,,,,,,,,,,,,,,,,,,,,,
Cook Islands,1986,COK,16518,,,,,,,,,,,,,,,,,,0.000,0.000,0.000,,,,,,-25.000,-0.061,11116.093,,,,,,,,,,,,,,,,,0.000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,0.000,0.000,,,,,,,,,,,,,,,0.184,,,,,,,,,,,,,,,,,,,,,,,,
Cook Islands,1987,COK,16577,,,,,,,,,,,,,,,,,,0.000,0.000,0.000,,,,,,0.000,0.000,11076.529,,,,,,,,,,,,,,,,,0.000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,0.000,0.000,,,,,,,,,,,,,,,0.184,,,,,,,,,,,,,,,,,,,,,,,,
Cook Islands,1988,COK,16756,,,,,,,,,,,,,,,,,,0.000,0.000,0.000,,,,,,0.274,0.001,10988.224,,,,,,,,,,,,,,,,,0.000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,0.000,0.000,,,,,,,,,,,,,,,0.184,,,,,,,,,,,,,,,,,,,,,,,,
Cook Islands,1989,COK,16942,,,,,,,,,,,,,,,,,,0.000,0.000,0.000,,,,,,-0.273,-0.001,10837.896,,,,,,,,,,,,,,,,,0.000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,0.000,0.000,,,,,,,,,,,,,,,0.184,,,,,,,,,,,,,,,,,,,,,,,,
Cook Islands,1990,COK,17147,,,,,,,,,,,,,,,,,,0.000,0.000,0.000,,,,,,0.000,0.000,10708.323,,,,,,,,,,,,,,,,,0.000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,0.000,0.000,,,,,,,,,,,,,,,0.184,,,,,,,,,,,,,,,,,,,,,,,,
Cook Islands,1991,COK,17333,,,,,,,,,,,,,,,,,,0.000,0.000,0.000,,,,,,-31.227,-0.057,7285.417,,,,,,,,,,,,,,,,,0.000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,0.000,0.000,,,,,,,,,,,,,,,0.126,,,,,,,,,,,,,,,,,,,,,,,,
Cook Islands,1992,COK,17481,,,,,,,,,,,,,,,,,,0.000,0.000,0.000,,,,,,46.044,0.058,10549.842,,,,,,,,,,,,,,,,,0.000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,0.000,0.000,,,,,,,,,,,,,,,0.184,,,,,,,,,,,,,,,,,,,,,,,,
Cook Islands,1993,COK,17583,,,,,,,,,,,,,,,,,,0.000,0.000,0.000,,,,,,-0.273,-0.001,10459.976,,,,,,,,,,,,,,,,,0.000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,0.000,0.000,,,,,,,,,,,,,,,0.184,,,,,,,,,,,,,,,,,,,,,,,,
Cook Islands,1994,COK,17682,,,,,,,,,,,,,,,,,,0.000,0.000,0.000,,,,,,0.000,0.000,10401.423,,,,,,,,,,,,,,,,,0.000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,0.000,0.000,,,,,,,,,,,,,,,0.184,,,,,,,,,,,,,,,,,,,,,,,,
Cook Islands,1995,COK,17758,,,,,,,,,,,,,,,,,,0.000,0.000,0.000,,,,,,-0.000,-0.000,10356.900,,,,,,,,,,,,,,,,,0.000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,0.000,0.000,,,,,,,,,,,,,,,0.184,,,,,,,,,,,,,,,,,,,,,,,,
Cook Islands,1996,COK,17823,,,,,,,,,,,,,,,,,,0.000,0.000,0.000,,,,,,0.274,0.001,10347.400,,,,,,,,,,,,,,,,,0.000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,0.000,0.000,,,,,,,,,,,,,,,0.184,,,,,,,,,,,,,,,,,,,,,,,,
Cook Islands,1997,COK,17606,,,,,,,,,,,,,,,,,,0.000,0.000,0.000,,,,,,-0.275,-0.001,10446.150,,,,,,,,,,,,,,,,,0.000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,0.000,0.000,,,,,,,,,,,,,,,0.184,,,,,,,,,,,,,,,,,,,,,,,,
Cook Islands,1998,COK,17092,,,,,,,,,,,,,,,,,,0.000,0.000,0.000,,,,,,-0.000,-0.000,10760.266,,,,,,,,,,,,,,,,,0.000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,0.000,0.000,,,,,,,,,,,,,,,0.184,,,,,,,,,,,,,,,,,,,,,,,,
Cook Islands,1999,COK,16523,,,,,,,,,,,,,,,,,,0.000,0.000,0.000,,,,,,0.000,0.000,11130.868,,,,,,,,,,,,,,,,,0.000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,0.000,0.000,,,,,,,,,,,,,,,0.184,,,,,,,,,,,,,,,,,,,,,,,,
Cook Islands,2000,COK,15920,,,,,,0.000,0.000,0.000,,500.000,,,,,0.000,0.000,,0.000,0.000,0.000,0.000,,0.020,0.020,,48.899,0.090,17201.518,,,,1256.281,0.020,,,100.000,,,,,0.000,0.000,,,0.000,0.000,0.000,0.000,,0.010,,,,0.000,0.000,,0.000,,,,,0.000,0.000,,0.000,,0.000,0.000,,,,0.000,0.000,,0.000,,,,,1256.281,0.020,,,0.000,0.000,0.000,100.000,,,0.000,0.000,,,0.000,0.000,,0.000,0.000,,1256.281,0.274,,,,0.000,0.000,,0.000,,,,,0.000,0.000,,0.000,,,,,0.000,0.000,,0.000,
Cook Islands,2001,COK,15320,,,,,,0.000,0.000,0.000,,500.000,,,,,0.000,0.000,,0.000,0.000,0.000,0.000,,0.020,0.020,,-4.613,-0.013,17050.652,,,,1305.483,0.020,,,100.000,,,,,0.000,0.000,,,0.000,0.000,0.000,0.000,,0.010,,,,0.000,0.000,,0.000,,,,,0.000,0.000,,0.000,,0.000,0.000,,,,0.000,0.000,,0.000,,,,,1305.483,0.020,,,0.000,0.000,0.000,100.000,,,0.000,0.000,,,0.000,0.000,,0.000,0.000,,1305.483,0.261,,,,0.000,0.000,,0.000,,,,,0.000,0.000,,0.000,,,,,0.000,0.000,,0.000,
Cook Islands,2002,COK,15049,,,,,,0.000,0.000,0.000,,666.667,,,,,0.000,0.000,,0.000,0.000,0.000,0.000,,0.030,0.030,,-45.817,-0.120,9404.955,,,,1993.488,0.030,,,100.000,,,,,0.000,0.000,,,0.000,0.000,0.000,0.000,,0.020,,,,0.000,0.000,,0.000,,,,,0.000,0.000,,0.000,,0.000,0.000,,,,0.000,0.000,,0.000,,,,,1993.488,0.030,,,0.000,0.000,0.000,100.000,,,0.000,0.000,,,0.000,0.000,,0.000,0.000,,1993.488,0.142,,,,0.000,0.000,,0.000,,,,,0.000,0.000,,0.000,,,,,0.000,0.000,,0.000,
Cook Islands,2003,COK,15100,,,,,,0.000,0.000,0.000,,666.667,,,,,0.000,0.000,,0.000,0.000,0.000,0.000,,0.030,0.030,,-7.766,-0.011,8645.277,,,,1986.755,0.030,,,100.000,,,,,0.000,0.000,,,0.000,0.000,0.000,0.000,,0.020,,,,0.000,0.000,,0.000,,,,,0.000,0.000,,0.000,,0.000,0.000,,,,0.000,0.000,,0.000,,,,,1986.755,0.030,,,0.000,0.000,0.000,100.000,,,0.000,0.000,,,0.000,0.000,,0.000,0.000,,1986.755,0.131,,,,0.000,0.000,,0.000,,,,,0.000,0.000,,0.000,,,,,0.000,0.000,,0.000,
Cook Islands,2004,COK,15135,,,,,,0.000,0.000,0.000,,666.667,,,,,0.000,0.000,,0.000,0.000,0.000,0.000,,0.030,0.030,,69.616,0.091,14629.907,,,,1982.161,0.030,,,100.000,,,,,0.000,0.000,,,0.000,0.000,0.000,0.000,,0.020,,,,0.000,0.000,,0.000,,,,,0.000,0.000,,0.000,,0.000,0.000,,,,0.000,0.000,,0.000,,,,,1982.161,0.030,,,0.000,0.000,0.000,100.000,,,0.000,0.000,,,0.000,0.000,,0.000,0.000,,1982.161,0.221,,,,0.000,0.000,,0.000,,,,,0.000,0.000,,0.000,,,,,0.000,0.000,,0.000,
Cook Islands,2005,COK,15168,,,,,,0.000,0.000,0.000,,666.667,,,,,0.000,0.000,,0.000,0.000,0.000,0.000,,0.030,0.030,,60.083,0.133,23369.021,,,,1977.848,0.030,,,100.000,,,,,0.000,0.000,,,0.000,0.000,0.000,0.000,,0.020,,,,0.000,0.000,,0.000,,,,,0.000,0.000,,0.000,,0.000,0.000,,,,0.000,0.000,,0.000,,,,,1977.848,0.030,,,0.000,0.000,0.000,100.000,,,0.000,0.000,,,0.000,0.000,,0.000,0.000,,1977.848,0.354,,,,0.000,0.000,,0.000,,,,,0.000,0.000,,0.000,,,,,0.000,0.000,,0.000,
Cook Islands,2006,COK,15225,,,,,,0.000,0.000,0.000,,666.667,,,,,0.000,0.000,,0.000,0.000,0.000,0.000,,0.030,0.030,,6.548,0.023,24806.082,,,,1970.443,0.030,,,100.000,,,,,0.000,0.000,,,0.000,0.000,0.000,0.000,,0.020,,,,0.000,0.000,,0.000,,,,,0.000,0.000,,0.000,,0.000,0.000,,,,0.000,0.000,,0.000,,,,,1970.443,0.030,,,0.000,0.000,0.000,100.000,,,0.000,0.000,,,0.000,0.000,,0.000,0.000,,1970.443,0.378,,,,0.000,0.000,,0.000,,,,,0.000,0.000,,0.000,,,,,0.000,0.000,,0.000,
Cook Islands,2007,COK,15533,,,,,,0.000,0.000,0.000,,666.667,,,,,0.000,0.000,,0.000,0.000,0.000,0.000,,0.030,0.030,,-15.625,-0.059,20515.166,,,,1931.372,0.030,,,100.000,,,,,0.000,0.000,,,0.000,0.000,0.000,0.000,,0.020,,,,0.000,0.000,,0.000,,,,,0.000,0.000,,0.000,,0.000,0.000,,,,0.000,0.000,,0.000,,,,,1931.372,0.030,,,0.000,0.000,0.000,100.000,,,0.000,0.000,,,0.000,0.000,,0.000,0.000,,1931.372,0.319,,,,0.000,0.000,,0.000,,,,,0.000,0.000,,0.000,,,,,0.000,0.000,,0.000,
Cook Islands,2008,COK,16091,,,,,,0.000,0.000,0.000,,666.667,,,,,0.000,0.000,,0.000,0.000,0.000,0.000,,0.030,0.030,,2.740,0.009,20346.406,,,,1864.396,0.030,,,100.000,,,,,0.000,0.000,,,0.000,0.000,0.000,0.000,,0.020,,,,0.000,0.000,,0.000,,,,,0.000,0.000,,0.000,,0.000,0.000,,,,0.000,0.000,,0.000,,,,,1864.396,0.030,,,0.000,0.000,0.000,100.000,,,0.000,0.000,,,0.000,0.000,,0.000,0.000,,1864.396,0.327,,,,0.000,0.000,,0.000,,,,,0.000,0.000,,0.000,,,,,0.000,0.000,,0.000,
Cook Islands,2009,COK,16658,,,,,,0.000,0.000,0.000,,666.667,,,,,0.000,0.000,,0.000,0.000,0.000,0.000,,0.030,0.030,,-7.870,-0.026,18107.172,,,,1800.937,0.030,,,100.000,,,,,0.000,0.000,,,0.000,0.000,0.000,0.000,,0.020,,,,0.000,0.000,,0.000,,,,,0.000,0.000,,0.000,,0.000,0.000,,,,0.000,0.000,,0.000,,,,,1800.937,0.030,,,0.000,0.000,0.000,100.000,,,0.000,0.000,,,0.000,0.000,,0.000,0.000,,1800.937,0.302,,,,0.000,0.000,,0.000,,,,,0.000,0.000,,0.000,,,,,0.000,0.000,,0.000,
Cook Islands,2010,COK,17237,,,,,,0.000,0.000,0.000,,666.667,,,,,0.000,0.000,,0.000,0.000,0.000,0.000,,0.030,0.030,,18.783,0.057,20785.795,,,,1740.442,0.030,,,100.000,,,,,0.000,0.000,,,0.000,0.000,0.000,0.000,,0.020,,,,0.000,0.000,,0.000,,,,,0.000,0.000,,0.000,,0.000,0.000,,,,0.000,0.000,,0.000,,,,,1740.442,0.030,,,0.000,0.000,0.000,100.000,,,0.000,0.000,,,0.000,0.000,,0.000,0.000,,1740.442,0.358,,,,0.000,0.000,,0.000,,,,,0.000,0.000,,0.000,,,,,0.000,0.000,,0.000,
